"","con","ext_all","ext_big","ext_small","ext_BAS","shan_all","shan_big","shan_small","shan_BAS","maxTL","minTL","varTL","maxTL_B","minTL_B","varTL_B","maxTL_s","minTL_s","varTL_s"
"1",0.05,5,2,0,0,3.01858437963077,1.71498471237609,2.36604123524184,2.97487074107822,5.13279902810919,1,1.49979294047122,5.13279902810919,2.5,0.437034889367843,3.72222222222222,2,0.318884634490329
"2",0.05,30,15,5,0,2.70651679022649,0.209735679631363,2.60176024976685,2.64821751880793,5.44217964038276,1,1.44984149049793,5.44217964038276,2,0.795612884464067,3.77532051282051,2,0.338255446512713
"3",0.05,8,4,0,0,2.58453351265204,2.09715869170567,2.05640659987463,2.56560254773126,4.79165147796893,1,1.23565306168669,4.79165147796893,2,0.611667825242901,4.3125,2,0.425596332151356
"4",0.05,32,8,4,0,1.97829733732241,2.24874634372969,2.73399298206921,1.93785524112593,8.9581875,1,2.96872494076844,8.9581875,2.33333333333333,1.61605369126483,7.9581875,2,2.0890095734672
"5",0.05,7,5,0,0,2.92028639854363,1.66247850664322,2.88224694130858,2.91329933166935,6,1,1.5719409639592,4.76910354543406,2,0.634517039120573,5,2,0.517385223989178
"6",0.05,4,3,0,0,2.86305584283675,1.97372644000204,2.9080864738392,2.85466610966118,4.83333333333333,1,1.4141560944268,4.73597710689214,2,0.386682652589269,4.83333333333333,2,0.406305225756671
"7",0.05,13,6,3,0,2.55283616897471,1.86486786183403,2.08698400212461,2.53978788150971,5.05,1,1.3629086793852,4.69301458660999,2,0.433085667275808,5.05,2,0.730531061808767
"8",0.05,26,11,2,0,2.79138329772733,1.21130526277859,2.41862670447295,2.7568406144922,6.18634458218549,1,2.06314584963409,6.10055933953012,2.77777777777778,0.689196175299438,5.5,2,1.23864702289518
"9",0.05,15,10,2,0,2.78367066097921,1.78699544570504,2.44715666536482,2.75076212020236,4.86417376394036,1,1.37391669811423,4.86417376394036,2.375,0.625831542921103,4.80697870537423,2,0.447927508676003
"10",0.05,9,5,0,0,2.81775394163258,1.40915661577139,2.34420704229867,2.80003609394232,5.15480066443519,1,1.56758347662448,5.15480066443519,2.25,0.441831924365533,4,2,0.463549511724963
"11",0.05,21,7,5,0,2.99244747125242,2.19040158111459,2.3496459918477,2.96349762499556,6.25,1,1.5691535348316,6.25,2.93229166666667,0.489465980142945,3.63463541666667,2,0.291870125079715
"12",0.05,20,11,0,0,2.70334792918279,0.745470459159095,2.96331112130083,2.68273810496002,5.07807280270757,1,1.3611793962533,4.95439763717966,2.88888888888889,0.376779945053713,3.8,2,0.327660090145197
"13",0.05,20,10,1,0,2.65164018829129,1.89613875616062,2.06286020771275,2.63225728958114,5.84520202020202,1,2.01807978689291,5.55001700680272,2,1.19524795461496,5.75218554593554,2,1.16194470727066
"14",0.05,15,10,1,0,3.00145839394713,2.08886337900566,2.52425333347833,2.98574797278312,6,1,1.90043501629859,5.37351224593328,2,0.909506291525259,4.5,2,0.581668645047251
"15",0.05,6,3,0,0,3.00906126507929,0.953260156703799,2.60475688900931,2.98402059308424,5.72898698230223,1,1.96076675479191,5.72898698230223,2,0.797261199768418,5.27480158730159,2,0.662892589256825
"16",0.05,12,7,1,0,2.94006604785546,1.76382108038745,2.68843222429837,2.92966071178653,5.62207135114772,1,1.8655184783287,5.62207135114772,3.375,0.56179617991192,5,2,0.544130939680207
"17",0.05,7,5,0,0,2.91913411178714,1.36643942926431,2.78416546447646,2.91319856049019,5.24987402433425,1,1.52818457068804,5.24987402433425,2.5,0.470013110318582,4.5,2,0.604410936661746
"18",0.05,6,5,0,0,2.48865832466431,1.56258495798272,2.42130778487654,2.4840875131317,6,1,1.79498979647692,6,2.6,0.574423347389129,5,2,0.604257541658523
"19",0.05,8,4,0,0,2.42140348147981,1.36811066789082,2.87363901388426,2.41840798706941,5.63458568218477,1,1.40010175630071,5.63458568218477,2,0.596714848909412,4.5,2,0.438999256182005
"20",0.05,36,14,8,0,2.07212867801647,1.55986956953948,2.19336081349045,2.03362186709909,6.43061913896759,1,2.28638012373212,6.43061913896759,3,0.693933256284733,5.76481481481481,2,0.883683546008673
"21",0.05,23,9,3,0,2.62405173624575,0.655540946269039,2.34801127870164,2.56492256195111,4.96624422269354,1,1.43750970037355,4.96624422269354,2,0.752656577790286,4.4375,2,0.534153466446853
"22",0.05,18,8,4,0,2.75627530848779,1.31299319522876,2.39442062421069,2.72384496784925,5.76054591515816,1,1.54972762070861,5.76054591515816,2.82857142857143,0.439973112668758,4.47619047619048,2,0.655647303127675
"23",0.05,31,9,9,0,2.81513643304136,1.27587819936844,2.01345918124645,2.79646442153555,5.94704861111111,1,1.5611237865153,5.18701706412728,2,0.79158273181674,4.6087962962963,2,0.579226680476372
"24",0.05,8,5,0,0,2.80144580756049,1.13510511770914,2.40212844331074,2.79243293148117,5.37788575676541,1,1.33029180059579,5.37788575676541,2.25,0.411706160708061,4.25,2,0.447396059593316
"25",0.05,18,11,0,0,2.97431295730552,1.41004653210008,2.78503439234235,2.95264626030609,5.01378836963514,1,1.22054543235418,4.63970082820343,2,0.416238410045712,4,2,0.329867311598206
"26",0.05,9,5,1,0,3.18249895050757,1.31692454193008,2.32759352179604,3.16164231129991,5.28017580989938,1,1.61688951234277,5.28017580989938,2.46052631578947,0.516344981214514,4.25,2,0.525057813564791
"27",0.05,14,8,0,0,2.83799637288847,1.78563890950381,2.60484693482285,2.82499970639232,4.75,1,1.23597350148824,4.75,2.66666666666667,0.359822420692867,3.75,2,0.390453392261549
"28",0.05,15,10,2,0,3.09325042242564,1.59820036027255,2.90688534269858,3.07576081358332,5.5,1,1.67650864855061,5.31694740605331,2.42857142857143,0.628376173344941,5.5,2,0.830107088987422
"29",0.05,26,8,2,0,2.24220037581513,1.14528229074231,2.36367180807004,2.23313792097432,5.07701599212993,1,1.41705693276312,4.76164540120883,2,0.525079832877693,3.97069168217685,2,0.535155980099865
"30",0.05,4,3,0,0,2.98157634292391,1.51333128393608,3.01989527053504,2.97659420637978,6.41592373193936,1,1.70130562989785,6.41592373193936,2,0.930036110300751,3.5,2,0.215898175168803
"31",0.05,18,13,0,0,2.75377247603215,1.69449280837052,2.87453543947934,2.71204042773496,4.71990740740741,1,1.17208781924893,4.69275474041094,2,0.492798142458486,3.90277777777778,2,0.315539103760137
"32",0.05,10,4,1,0,2.66174685783764,2.27527322476397,2.66738453202963,2.65204389087848,5.56689262873508,1,1.79703030997625,5.56689262873508,2.8,0.516289087397248,4.64351851851852,2,0.691618940616751
"33",0.05,13,8,0,0,2.74278036080222,2.11354264210145,2.39991430535685,2.73389417057704,5.38266453598485,1,1.59626618456697,5.30033104344423,2,0.852156100922074,4.69791666666667,2,0.577060625790497
"34",0.05,7,4,1,0,2.7010365000555,1.64763676341971,2.55598331237303,2.69292451434823,6.45436507936508,1,1.97588357628967,6.45436507936508,2.92708333333333,0.781544406336056,4.91666666666667,2,0.845153434901145
"35",0.05,16,6,2,0,2.71225235673102,2.0854547195963,2.20981657103553,2.67998119200623,5.60296095473948,1,1.77745306304223,5.60296095473948,2.29090909090909,0.652118216569152,4.51428571428571,2,0.520333541524657
"36",0.05,5,5,0,0,2.54912254765009,1.99244842975048,2.66598195969548,2.54412677351946,6.87651366294037,1,2.19824482258497,6.87651366294037,2.2,1.2426941309831,4.8172123015873,2,0.592510652336261
"37",0.05,5,3,0,0,3.01149438111321,1.60498258824034,2.87069966310699,3.00746068825017,5.06976697773096,1,1.51967909691188,5.06976697773096,3.03703703703704,0.159891300251575,3.94444444444444,2,0.405379614241097
"38",0.05,14,9,0,0,2.884130242243,1.09476375099994,2.88485616786914,2.86903054913266,4.79432179911444,1,1.21907732503642,4.79432179911444,2,0.496529226597022,4.16771384479718,2,0.356699674787178
"39",0.05,44,19,5,0,1.92048327145157,1.66259618043482,2.6387859555601,1.88822473594808,6.05600231865833,1,1.90271100196235,6.05600231865833,2.33333333333333,0.78321573333015,4.6875,2,0.831253208845429
"40",0.05,8,2,0,0,2.57057264480012,1.86261355421419,2.36836978359621,2.55288639416471,5.68991906342167,1,2.18862749396426,5.68991906342167,2.91666666666667,0.47074448677806,5.11111111111111,2,0.792713435905533
