"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions",30,26,31,32,18,21,19,18,25,16,26,33,13,14,24,14,15
"extinctions.1",29,30,19,26,24,27,21,14,38,31,30,24,14,24,12,14,23
"extinctions.2",17,26,38,41,39,25,21,20,10,36,11,25,14,11,20,13,15
"extinctions.3",27,33,21,23,26,24,25,20,20,15,19,21,34,11,5,12,10
"extinctions.4",39,30,29,32,30,17,23,26,39,26,40,28,35,11,9,33,19
"extinctions.5",28,23,34,28,21,20,39,22,19,22,15,15,16,6,10,20,37
"extinctions.6",35,30,36,21,31,27,21,29,20,22,11,49,16,12,7,26,9
"extinctions.7",29,28,27,33,24,25,30,22,19,16,13,18,30,9,35,19,10
"extinctions.8",33,24,39,23,21,25,28,16,25,24,21,19,21,21,16,10,5
"extinctions.9",28,31,26,25,21,20,28,28,16,27,17,26,19,16,40,19,9
"extinctions.10",24,20,20,18,33,34,16,13,17,18,10,14,22,10,12,14,8
"extinctions.11",33,26,32,17,21,43,20,34,16,14,14,17,11,16,12,25,11
"extinctions.12",16,30,28,21,17,25,32,33,33,20,32,18,20,29,24,28,3
"extinctions.13",23,20,25,32,30,36,18,45,21,11,36,27,28,38,15,6,9
"extinctions.14",30,25,30,22,29,28,22,35,28,17,20,22,10,28,13,11,19
"extinctions.15",38,31,17,33,24,26,22,27,15,15,23,14,16,19,13,13,9
"extinctions.16",30,22,34,16,28,22,34,38,20,36,15,24,35,19,12,11,15
"extinctions.17",36,32,31,45,22,26,18,14,19,23,14,14,38,15,10,20,22
"extinctions.18",36,23,20,23,24,36,19,26,28,22,41,21,11,14,40,10,42
"extinctions.19",28,24,26,26,26,21,18,14,16,15,11,14,9,44,20,15,9
"extinctions.20",24,41,32,22,18,16,25,24,31,38,28,23,15,13,7,8,20
"extinctions.21",30,32,21,16,20,31,41,24,37,24,20,25,30,29,17,6,11
"extinctions.22",28,17,33,23,26,35,12,27,20,34,21,19,14,15,15,20,4
"extinctions.23",36,33,23,46,25,19,23,22,25,34,16,14,12,30,17,39,10
"extinctions.24",30,35,21,25,31,40,32,23,26,13,14,35,13,33,18,8,13
"extinctions.25",33,32,27,32,29,35,21,33,33,18,12,28,12,30,12,6,6
"extinctions.26",34,32,23,24,19,19,13,33,16,19,51,45,16,13,22,11,9
"extinctions.27",32,24,29,25,25,18,18,25,26,33,20,13,15,19,18,15,11
"extinctions.28",35,30,24,33,19,16,15,21,17,23,36,12,13,9,33,11,7
"extinctions.29",47,25,22,27,25,22,15,21,26,28,20,23,18,50,19,22,6
"extinctions.30",45,36,24,21,19,24,28,25,16,21,17,37,14,19,11,23,18
"extinctions.31",42,26,29,28,20,27,35,17,15,25,14,25,12,16,17,16,17
"extinctions.32",26,33,25,20,41,35,35,18,19,18,20,20,16,18,18,15,17
"extinctions.33",50,26,17,17,19,26,32,19,26,20,14,20,25,9,9,11,14
"extinctions.34",41,26,32,16,29,24,19,33,9,13,21,24,11,13,20,20,22
"extinctions.35",38,21,22,33,23,28,25,29,16,21,21,20,15,8,23,28,33
"extinctions.36",25,34,33,25,28,12,22,34,21,17,20,14,12,12,9,14,9
"extinctions.37",30,31,26,43,21,18,18,29,21,29,20,22,19,22,24,0,9
"extinctions.38",34,28,24,26,33,22,39,31,9,18,10,22,32,2,6,20,17
"extinctions.39",25,17,24,21,31,26,26,23,31,26,24,23,23,27,11,5,4
"extinctions.40",40,30,33,27,23,24,20,21,19,32,5,48,15,22,23,8,9
