"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions.h",6,10,8,12,11,9,8,13,10,13,8,9,14,11,11,5,10
"extinctions.h.1",5,11,11,8,12,12,13,10,9,11,10,10,14,15,10,6,14
"extinctions.h.2",11,5,5,11,9,11,9,14,12,15,12,10,12,5,14,6,15
"extinctions.h.3",11,4,10,10,11,10,11,13,8,12,13,11,12,10,8,15,14
"extinctions.h.4",8,11,10,7,14,10,14,10,9,14,10,7,9,7,7,9,14
"extinctions.h.5",3,11,14,12,9,12,14,8,10,10,8,13,13,8,7,12,6
"extinctions.h.6",13,13,13,11,10,14,7,15,7,9,10,11,9,6,8,9,15
"extinctions.h.7",11,9,12,9,14,14,12,9,8,9,8,7,14,13,5,14,9
"extinctions.h.8",9,11,10,6,7,10,12,11,14,11,11,8,14,12,6,8,7
"extinctions.h.9",12,10,3,10,14,7,10,11,11,9,13,14,11,10,11,7,12
"extinctions.h.10",8,8,13,14,13,11,8,14,6,10,14,9,9,10,15,14,10
"extinctions.h.11",3,7,10,11,14,11,13,10,13,10,15,9,13,11,15,5,11
"extinctions.h.12",6,7,11,14,13,11,14,10,8,13,10,8,14,12,14,9,6
"extinctions.h.13",10,7,10,15,13,11,13,10,12,14,10,6,14,12,9,15,15
"extinctions.h.14",5,12,13,12,14,14,11,8,12,12,8,11,15,15,6,6,15
"extinctions.h.15",7,9,13,11,13,6,11,13,13,15,4,12,10,6,8,8,8
"extinctions.h.16",9,11,10,2,10,12,10,10,12,14,8,15,15,8,13,15,6
"extinctions.h.17",9,14,7,12,10,8,11,13,13,10,10,14,10,6,8,8,9
"extinctions.h.18",5,8,14,10,13,13,10,12,11,9,9,8,11,14,8,9,6
"extinctions.h.19",9,7,12,12,13,8,10,10,12,14,10,8,11,9,10,12,10
"extinctions.h.20",10,4,10,4,9,8,12,13,9,8,15,9,10,8,5,9,14
"extinctions.h.21",10,10,12,11,14,9,10,15,8,10,13,9,8,12,15,7,7
"extinctions.h.22",9,6,7,10,13,13,7,11,14,9,9,8,10,14,14,15,8
"extinctions.h.23",3,14,9,10,11,9,11,12,14,13,6,14,15,10,10,11,13
"extinctions.h.24",14,13,8,14,12,14,14,9,10,9,7,13,14,14,8,13,8
"extinctions.h.25",8,12,12,11,12,12,13,11,10,9,8,7,9,11,13,7,6
"extinctions.h.26",4,9,11,8,15,14,8,14,13,14,14,9,11,14,14,7,14
"extinctions.h.27",9,13,9,10,8,9,9,11,12,12,13,6,10,10,9,8,10
"extinctions.h.28",12,11,15,11,12,14,9,12,9,10,12,14,7,11,13,9,9
"extinctions.h.29",10,12,8,11,11,13,14,9,9,12,12,5,7,15,8,11,7
"extinctions.h.30",9,11,7,11,8,7,12,10,14,11,14,8,14,13,10,11,12
"extinctions.h.31",6,11,11,12,12,12,10,14,12,14,10,11,10,15,8,8,13
"extinctions.h.32",9,9,5,7,10,13,7,12,14,9,13,12,12,13,7,7,5
"extinctions.h.33",5,10,12,11,10,7,11,12,13,10,9,6,7,15,15,9,10
"extinctions.h.34",7,11,2,12,11,12,13,8,7,15,10,9,9,12,15,9,12
"extinctions.h.35",10,8,11,11,12,11,13,9,15,13,9,12,11,15,7,7,15
"extinctions.h.36",14,5,11,9,13,10,11,8,13,8,10,9,9,10,14,11,9
"extinctions.h.37",0,8,3,10,13,11,13,11,11,10,13,14,9,13,8,6,15
"extinctions.h.38",5,9,11,14,13,10,8,11,10,14,14,11,10,4,8,7,14
"extinctions.h.39",9,4,14,9,11,14,13,14,12,10,6,10,5,15,11,6,7
"extinctions.h.40",7,8,13,12,13,13,10,14,9,11,11,6,8,13,12,13,12
"extinctions.h.41",13,13,12,7,13,11,10,9,10,14,11,8,15,9,9,9,15
"extinctions.h.42",10,5,9,6,11,12,13,9,6,10,9,12,10,10,11,13,9
"extinctions.h.43",6,10,11,12,8,11,13,15,9,9,14,10,14,10,10,10,9
"extinctions.h.44",12,10,4,10,12,12,13,11,8,10,12,14,8,8,10,11,8
"extinctions.h.45",7,11,11,10,11,12,13,10,15,10,11,8,7,5,13,6,8
"extinctions.h.46",9,7,7,11,11,5,5,14,9,9,13,14,9,9,11,9,9
"extinctions.h.47",7,9,6,9,6,11,10,8,14,8,6,12,15,14,9,12,9
"extinctions.h.48",6,9,12,10,13,10,12,12,9,10,5,7,7,12,13,10,9
"extinctions.h.49",9,7,6,10,10,12,10,13,14,15,15,14,15,9,9,8,9
"extinctions.h.50",10,5,9,11,9,13,11,11,10,14,12,8,12,14,11,7,15
"extinctions.h.51",8,5,5,2,11,12,10,10,7,7,12,10,14,7,10,10,14
"extinctions.h.52",7,4,13,11,12,14,10,9,9,6,15,8,11,7,7,15,15
"extinctions.h.53",8,5,13,3,9,14,11,10,10,5,13,11,10,8,9,14,11
"extinctions.h.54",5,11,10,12,10,8,9,7,11,13,6,9,7,6,9,14,15
"extinctions.h.55",8,13,13,13,11,11,10,7,11,14,10,9,10,14,10,6,13
"extinctions.h.56",7,6,9,13,12,11,6,14,11,9,9,10,14,11,13,5,15
"extinctions.h.57",7,7,11,14,11,14,13,11,14,8,11,13,15,11,13,10,9
"extinctions.h.58",15,8,11,11,10,13,11,13,14,15,13,10,12,8,12,9,9
"extinctions.h.59",7,8,13,13,10,11,11,10,9,11,10,11,9,13,9,8,6
"extinctions.h.60",10,12,11,14,12,11,7,12,14,10,12,11,11,14,12,7,11
