"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions",47,43,51,52,52,48,46,57,52,53,57,56,52,60,56,57,52
"extinctions.1",46,55,48,51,48,55,49,48,57,56,48,53,53,49,46,50,57
"extinctions.2",49,49,48,53,54,51,57,50,59,51,57,57,56,56,52,58,53
"extinctions.3",45,48,44,50,49,53,45,51,56,48,58,52,49,54,50,59,48
"extinctions.4",41,49,50,50,51,48,51,51,51,48,58,49,56,49,50,50,47
"extinctions.5",46,44,52,54,49,58,51,48,49,58,57,59,55,60,49,59,49
"extinctions.6",44,42,56,46,46,55,52,59,56,49,49,58,53,57,56,61,54
"extinctions.7",41,49,47,49,53,50,55,56,50,55,53,59,62,47,49,55,59
"extinctions.8",41,39,52,43,54,49,46,55,56,55,50,57,51,61,57,56,60
"extinctions.9",41,41,48,50,49,52,58,51,46,53,52,47,51,45,51,53,55
"extinctions.10",47,47,49,50,53,51,54,54,54,45,55,57,56,60,54,62,58
"extinctions.11",38,50,48,57,55,54,53,51,49,49,54,49,60,50,55,49,58
"extinctions.12",44,51,54,56,50,54,52,54,54,58,55,51,61,55,51,56,59
"extinctions.13",42,49,50,53,52,55,49,57,44,54,55,49,52,53,49,50,48
"extinctions.14",39,44,53,49,53,53,49,59,53,49,55,47,60,58,57,58,60
"extinctions.15",46,42,53,53,54,54,51,50,49,51,49,47,55,59,54,56,52
"extinctions.16",40,45,54,47,58,53,56,54,47,54,50,56,53,46,49,55,54
"extinctions.17",40,48,53,52,56,51,54,52,45,46,57,50,48,54,52,61,52
"extinctions.18",44,41,48,48,48,53,52,52,48,50,57,52,52,58,54,51,58
"extinctions.19",41,45,47,48,55,57,47,55,49,51,56,53,60,61,48,54,61
"extinctions.20",48,48,53,51,51,55,50,52,52,54,51,48,55,46,55,63,54
"extinctions.21",55,48,51,52,48,54,50,48,52,59,59,44,58,56,51,46,61
"extinctions.22",44,47,49,53,51,55,52,57,46,55,52,54,47,48,51,60,51
"extinctions.23",42,41,51,48,52,50,49,57,47,54,57,61,48,57,47,50,61
"extinctions.24",44,44,50,49,49,53,52,53,55,52,54,59,49,60,47,55,57
"extinctions.25",45,44,51,47,54,52,52,53,50,54,54,60,57,48,53,58,51
"extinctions.26",40,52,48,43,45,55,49,51,51,48,53,52,59,50,46,57,50
"extinctions.27",45,49,51,51,56,55,54,48,52,58,51,54,43,56,52,50,48
"extinctions.28",46,51,50,47,51,56,53,49,57,51,50,52,56,51,59,60,55
"extinctions.29",41,48,45,52,49,52,42,50,55,56,50,54,59,56,46,46,53
"extinctions.30",44,48,55,52,49,56,60,53,54,57,56,53,46,57,56,63,47
"extinctions.31",46,48,53,55,51,57,50,57,53,56,51,58,52,49,61,62,52
"extinctions.32",42,47,50,54,55,53,49,59,57,50,54,56,59,55,58,53,52
"extinctions.33",44,52,53,53,47,52,54,49,48,55,56,49,52,59,58,59,60
"extinctions.34",50,49,47,46,55,52,55,53,54,53,53,55,50,56,60,61,58
"extinctions.35",37,48,44,50,45,52,56,60,48,49,49,46,62,55,55,53,57
"extinctions.36",46,44,51,54,51,51,55,52,54,52,49,55,59,51,50,50,51
"extinctions.37",45,42,48,50,56,48,58,52,50,51,52,48,55,50,50,53,60
"extinctions.38",50,44,53,46,50,51,58,52,52,48,53,61,49,53,50,57,48
"extinctions.39",44,46,50,54,48,50,53,54,56,60,55,52,42,59,60,56,51
