"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions.BAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
