"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions.l",19,23,16,14,23,17,27,15,19,16,10,25,22,17,27,25,8
"extinctions.l.1",28,18,19,16,15,10,15,17,11,11,25,13,14,14,8,8,26
"extinctions.l.2",25,22,16,16,18,18,17,17,14,23,14,15,14,14,10,24,8
"extinctions.l.3",21,23,23,24,20,20,15,9,23,16,16,20,17,8,10,22,5
"extinctions.l.4",12,23,26,20,18,18,23,23,13,8,24,17,11,22,13,15,15
"extinctions.l.5",22,20,23,20,16,15,17,14,13,12,16,8,8,31,15,6,12
"extinctions.l.6",29,25,17,19,18,23,21,21,17,16,16,10,14,14,15,17,31
"extinctions.l.7",24,18,17,19,16,19,23,13,19,18,18,19,10,11,12,5,18
"extinctions.l.8",19,24,21,20,26,21,29,14,9,20,24,16,22,21,12,13,14
"extinctions.l.9",20,22,19,23,17,10,19,10,21,13,11,15,14,19,24,18,6
"extinctions.l.10",29,22,22,23,26,13,20,15,23,20,18,24,10,18,19,29,22
"extinctions.l.11",26,23,21,19,18,18,19,24,14,3,26,10,22,16,10,21,16
"extinctions.l.12",25,22,21,19,14,16,20,15,16,20,13,10,9,17,11,19,18
"extinctions.l.13",24,24,22,15,19,16,19,14,12,11,14,24,11,11,23,17,20
"extinctions.l.14",20,27,23,18,20,17,21,24,24,19,12,14,21,13,16,9,11
"extinctions.l.15",31,19,21,18,21,16,14,24,21,12,20,19,9,11,10,20,6
"extinctions.l.16",26,21,25,18,19,23,9,14,17,23,13,16,14,15,3,9,12
"extinctions.l.17",28,25,20,23,17,24,13,23,19,11,19,12,17,11,16,6,12
"extinctions.l.18",28,25,18,13,23,9,27,19,10,16,18,22,12,16,18,21,18
"extinctions.l.19",23,18,18,21,19,17,20,15,16,13,12,10,28,24,5,14,12
"extinctions.l.20",24,25,26,19,15,16,16,15,11,6,29,14,19,13,16,8,16
"extinctions.l.21",23,25,19,15,21,14,20,16,16,13,22,17,21,11,23,15,12
"extinctions.l.22",25,20,15,20,21,15,20,30,16,23,13,13,30,15,17,14,12
"extinctions.l.23",27,24,19,21,15,15,18,15,13,14,23,15,21,9,21,6,23
"extinctions.l.24",27,24,19,17,22,19,19,16,17,14,15,15,11,8,18,8,15
