"","con","con_1","con_2","con_3","con_4","con_5","con_6","con_7","con_8","con_9","con_10","con_11","con_12","con_13","con_14","con_15","con_16"
"rep",2.29475687652452,2.66144261624257,2.74820873921452,2.61447581276378,2.63411422197332,2.63785113985747,2.579919430205,1.86461861093056,1.32030216602568,2.82522001206587,2.46320628029392,2.56689085132593,2.38878085484104,2.12275216823419,2.60174674236644,2.30709945146635,2.47257411899882
"rep_1",2.51342541933118,2.61181158912667,2.66667780153403,2.72801568958875,2.72849263527547,2.74488648656393,2.73077087769863,0.0943132660933269,2.63934198536601,2.57981310940503,2.68305193446626,2.37810210825204,2.79321034766923,2.279594472141,2.54382154906063,2.11040230914061,0.0830576483730858
"rep_2",2.74357516021317,2.87843635327006,2.62895545453969,2.70433542457477,2.87644446227931,2.9101538336438,2.84318660325289,2.41277807862377,0.0986659298038301,2.9332782293895,1.99582768510179,2.53869845273707,2.52695098944393,2.86933438273997,2.56344431742723,2.91928461382605,2.73426495261266
"rep_3",2.5991239416929,2.67864060428646,2.75420255759853,2.62729893916306,2.71345400335151,2.74309379636841,2.6041274276147,2.61566303187733,2.47847033510092,2.78151659894039,2.93740196077415,2.38827165849925,2.60585948948591,0.109183790726666,2.85231538127311,2.43622232827975,2.7695367712028
"rep_4",2.59657576583913,2.73936668918318,2.52407813671827,2.60052599425712,2.60051903913934,2.82759476298057,2.56900119597221,2.85312969913602,2.82085558484574,0.151479323021959,2.53555719413901,2.53125061236788,2.20608586193403,2.75650197182321,2.47298435556811,2.51032873921593,2.53427709520631
"rep_5",2.73466182158558,2.48527125528795,2.64022063188782,2.77250690413247,2.63913706835733,2.59231237135658,2.64131997540747,2.78810413441511,2.62037870651709,2.07816764710754,2.65276702456055,2.79567964397951,2.30518312929701,2.45950962237904,2.49103890672384,2.73705266004248,2.61810796239586
"rep_6",2.64325813450145,2.23642902728688,2.86447932154647,2.73729466526417,2.48604857014288,2.85503919595567,2.74007904894007,2.80128914821931,2.87809604756156,2.40174956997588,2.05737275621023,2.72683481411678,2.89221224724815,2.86549740635506,2.59891923432438,2.57709758248426,2.12194467851868
"rep_7",2.86683735458091,2.78188167059068,2.80806075062294,2.72588619888978,2.80393709832011,2.60368420984884,2.74847606591174,2.65899557193461,2.44016471165427,2.83227192881639,2.79840379881993,2.924388467038,1.55574522672361,0.139549496440622,2.54081300325815,2.46064061285147,2.95898606652704
"rep_8",2.55345379269736,2.44439101771489,2.63656482471878,2.82119942509563,2.72400683082258,2.86762385146514,1.91109459261823,2.87942478316481,2.2666392267037,0.748691294547763,2.7266890870426,2.11481952271387,2.54744645809464,2.68007508786827,2.65531024465023,2.70927689026966,2.35682962654264
"rep_9",2.80924225654317,1.74013137650825,2.76843357759755,2.91516241803319,2.86665990391615,2.52607542382595,2.73079930403342,2.99256465636087,2.16957775350589,2.69793640453936,2.83581346274601,2.70244816400478,2.68829444525853,2.62738902141506,0.814903089664421,2.4680962520543,2.10435454251711
"rep_10",2.654450294841,2.82778652688566,1.5154301731984,2.57322206084945,2.82196468967944,2.72705947782821,2.22679926511114,2.29292619696275,2.7724938873984,2.37495972992056,2.43075680859567,2.70458060437418,2.71592583251289,2.77083929595396,2.7025849337008,2.81935058796467,2.80422963549962
"rep_11",2.31061045479322,2.52119805282609,2.39440167575104,2.88057077475667,2.49505121023037,2.75223118106195,2.71117798370973,2.86770934947825,2.79154049785644,2.62177225751204,2.88787669842072,2.41468511695827,1.10802513133529,0.110178964584861,1.81434819584187,2.90065523403188,2.96552743455917
"rep_12",2.82527208574771,2.25456114398711,2.72453911897948,1.92112276812974,2.61508585208233,2.98048990214635,2.73099476968612,0.874885073714894,2.51988531093621,1.32158691025679,2.55595770947381,2.62604414894456,2.91096030199954,2.53625375045637,2.37247755963212,2.74002346378961,2.63956055860199
"rep_13",2.57700008607266,2.21134863430645,2.79607518487991,2.68988435541326,0.155787493899736,2.49018387149887,0.189816026669301,2.61269968253988,2.47375161805113,1.13622741377162,2.74816149117427,2.75851329843778,2.78008585084499,2.693759811957,2.68694660897403,2.64131024293031,2.72558635578666
"rep_14",2.69599148693396,2.90607675174953,2.54217214764089,2.81045237781957,2.62159348772162,2.73769959981705,2.49999440691165,1.52962521119821,2.75949309930839,2.08278552587535,2.2348417548468,2.84335281767323,2.38530520214467,1.47899629443286,2.71149717596764,2.73541086851969,2.63371927990607
"rep_15",2.63761141676171,2.75802361556853,2.70985652521092,2.77744017062953,2.48151723537513,2.8841358438377,2.58653945606652,2.46336141156424,2.83312397691956,2.66443471276851,1.96055132199819,2.37603795753444,2.53113764600368,2.02480498779824,2.89563287407435,2.20380909920362,2.30926628086826
"rep_16",2.81269878217159,2.69076123076503,2.7147418614497,2.86056071313847,2.58865669908526,2.39695060603805,2.51573933037355,2.59276727151313,2.80960549676593,2.42232301341609,2.4009388534077,2.69242648316078,2.58672449762387,2.58589948987807,2.49438182586513,2.82745661430407,2.31528325555807
"rep_17",2.60687050803654,2.63700088334733,2.70199685031294,1.48620230814296,2.71945574898221,2.3874110051382,2.51440529633845,0.787704919214669,2.71943043885056,2.95374745134944,2.44513749981739,2.44309558015401,2.02981089315391,2.76514687143356,1.09077226992642,2.45963358649676,2.2967973186375
"rep_18",2.70710634021209,2.99734954331859,2.67677121329669,1.25150574169401,2.60732798488235,2.32670967344457,0.984264803384741,2.6237675413697,2.85328852411378,2.55792378785645,2.99228979274012,2.11846712008866,0.135162126761393,2.8309973783043,2.63296197489228,2.50080919006599,2.5547550660783
"rep_19",2.73271933172519,2.90714157501057,2.13562079431673,2.61327458831502,2.33096759467269,2.5020995831839,2.63713209321359,2.85448929535958,2.51605187063155,2.94342227682807,1.94253623700689,2.6457550935306,1.09012601600789,2.19455594421126,2.58273912648908,1.90155260293912,3.04095027751642
"rep_20",2.68695642355332,2.83574476744043,2.85624122336143,2.67798626334663,2.77397817719996,2.25042021147433,2.67090807140708,2.64294334269365,2.20339508426195,2.51222575187009,2.7097618363229,2.49170029273301,2.94379769151907,0.868545400103839,2.6538563049127,2.16085508929379,2.65018455933072
"rep_21",2.59968462419381,2.76786633866293,2.64460030413064,2.41557738204301,2.7195053971674,2.52590345293575,2.88479938019446,2.582449288485,2.32455029009513,2.49508793374172,2.87268520921979,2.34541107779562,2.58574435090127,2.67153254708834,2.82459516088637,2.30390313101716,1.83267415998893
"rep_22",2.83527272768231,2.62631199779438,2.75870033592243,2.71550682573877,2.629002469136,2.24206030314517,2.72817495277532,2.92379697185801,2.76312661417043,2.52601170794065,2.77697464642413,2.5614198311332,2.58642391636331,2.68918958227817,2.06144228030805,2.37626706120924,0.0901064727009116
"rep_23",2.7922547637362,2.66497351389135,2.59384199069959,2.90264267743128,2.76165064587577,2.65904811745895,2.4467447394522,2.6235433682542,2.65108750138566,2.5475825723857,2.67560675810198,2.40943697527462,2.74520896587536,2.76222451064378,2.4139966024019,2.57035192637239,0.150886281083363
"rep_24",2.40907520794693,2.82798548705028,2.64205346140927,2.56288840139667,2.82951521588875,2.60079769035474,2.52816919612291,2.34779798624904,2.15250100673661,2.47522768604417,2.77667642798539,2.72512407795051,2.26215142623802,2.31769528883633,2.61415447867612,2.51134122237825,2.26750103241954
"rep_25",2.66175350510849,1.66603786957738,2.90042895320767,2.51956851101879,2.93344543174983,2.82832772303479,2.43880636379414,2.90960001558747,2.53506584589109,2.48497652202988,1.78994164369088,2.58664938658923,2.80985200343055,2.86860085650562,2.74053905579437,2.47811284279911,2.65510260177105
"rep_26",2.9227003260417,2.61105389103827,2.97441170182401,2.79167349097098,2.21980904205552,2.427157773909,2.12148846348536,1.02466524044627,2.80556132907806,2.69530409560273,2.81214535103309,2.97814278891842,2.44862757072982,0.107218997469013,2.78781604106346,2.6657350794517,3.17834213180917
"rep_27",2.60578153939364,2.60340418893025,2.80967343763082,2.78157215189051,1.09600196146611,0.224703794801492,2.72453610321447,2.11284609831138,2.73370634768971,2.53562347236403,2.32987986652457,2.67932571184391,2.39375628326255,2.53372204676855,2.48589188888231,2.52902591906734,2.60440599744654
"rep_28",2.82344871127282,2.80844241421001,2.70717443516747,2.79506237781685,2.32335523061066,2.74986558317918,2.8057103185943,2.68701316797566,2.70443696781235,2.48044887366138,2.7633828267539,2.71423077175219,2.48877646465771,2.32946209767664,2.56110598049874,2.68113486578673,2.81671581300016
"rep_29",2.4596748485143,2.69903988102072,2.7603733536751,1.8518331777849,2.62916709999861,2.74795840155953,2.63705293060786,2.57577510310655,2.86055229991287,2.62148661731801,2.7417985643185,2.81377937224654,2.59698226874314,2.63779152980399,2.46029602719434,2.48765431032562,2.67325107792972
"rep_30",2.14848791875113,2.50982620244698,2.624989436633,2.71476288981815,2.48761505228329,2.3719505106824,2.76048622403887,1.68079692313775,2.79857945122915,2.35791262349986,0.141411180978988,2.65753633436464,2.42084364082049,2.36509497340502,3.02768589480016,2.11656636223934,2.59162454211519
"rep_31",2.65965552765804,2.65320448072667,2.74482056983284,2.7632531610721,2.95373363863669,2.63974765135053,0.148596480921653,2.50530620755015,2.27686285639776,2.84367982830991,2.63364018890022,2.83650465194814,2.78026977504447,2.6115998311452,2.46133245835665,2.79807313563053,3.07652556854428
"rep_32",2.64806175838533,2.79265996242964,2.66528607324357,2.75384648543353,2.97276432684583,2.75603135606336,2.60173572010009,2.67255388399173,2.90390316872071,0.766818279897182,2.88721047191637,2.48366502696126,2.6380563451786,2.43493987125132,2.76871486700133,2.0309114645982,2.81235797596522
"rep_33",2.76829618480889,2.60463249129438,2.71715163966537,2.61392000928126,2.85677486043723,2.84142001875719,2.32590442606204,1.95513531749635,2.7319886429138,2.64332442444022,2.71104421690849,2.84995532401252,2.98541058432404,1.99733575840035,1.71000373593216,2.70854773432301,2.85357761659637
"rep_34",2.88504402685064,2.60626821628259,2.54718391855195,2.74216226041255,2.84652061764425,2.60988436103506,2.55418015336311,2.58527941318611,2.45628743944848,2.69015512176573,2.77207237870841,2.15971882213197,2.55467343038891,2.64945861339432,2.50067671077584,2.58014284775454,3.031297999508
