"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions",99,85,57,78,75,67,70,62,75,44,104,45,39,41,67,33,63
"extinctions.1",77,80,84,62,57,54,60,91,62,64,74,54,44,33,44,33,84
"extinctions.2",80,91,66,64,49,62,65,58,104,52,42,66,52,47,67,56,18
"extinctions.3",71,79,67,85,71,76,55,63,65,42,39,103,59,47,23,35,49
"extinctions.4",81,73,67,94,73,63,81,55,65,65,49,77,40,55,47,34,59
"extinctions.5",80,86,76,65,78,63,61,57,57,80,78,41,63,61,25,58,69
"extinctions.6",76,90,54,68,71,49,73,54,72,58,76,90,38,50,101,29,38
"extinctions.7",82,79,91,53,49,54,40,56,50,59,44,49,59,70,48,66,32
"extinctions.8",95,108,88,57,59,41,68,49,76,101,66,57,35,46,94,43,86
"extinctions.9",70,77,64,57,62,70,64,38,65,80,55,45,41,52,37,52,53
"extinctions.10",92,74,56,66,65,55,59,86,45,86,80,45,41,51,72,23,91
"extinctions.11",92,91,86,51,73,51,71,51,51,46,42,98,67,44,42,23,38
"extinctions.12",67,77,72,102,82,56,51,79,103,78,46,81,38,40,51,38,33
"extinctions.13",66,74,58,84,83,56,63,68,45,82,39,50,34,88,53,98,29
"extinctions.14",71,66,83,59,55,50,57,99,56,92,53,52,44,48,31,59,63
"extinctions.15",85,91,59,94,68,41,63,69,60,53,50,60,57,75,70,66,52
"extinctions.16",78,94,74,57,68,44,86,54,63,65,87,56,35,46,44,36,48
"extinctions.17",80,76,74,54,58,48,39,57,43,45,52,70,62,60,84,59,34
"extinctions.18",79,61,64,76,62,105,61,53,39,50,35,49,42,78,23,28,51
"extinctions.19",77,63,89,63,60,59,60,60,71,61,41,69,82,31,65,88,56
"extinctions.20",76,58,56,65,70,61,67,63,53,93,73,51,47,83,56,57,75
"extinctions.21",89,88,76,88,48,62,78,60,74,59,71,112,42,31,67,35,100
"extinctions.22",82,80,69,59,79,70,64,46,55,54,37,45,68,84,60,33,45
"extinctions.23",73,84,84,46,52,77,73,70,97,48,92,43,34,43,90,38,14
"extinctions.24",77,69,72,71,51,65,73,64,83,74,41,51,44,96,48,54,41
"extinctions.25",71,107,48,68,47,77,83,53,55,91,62,83,24,56,74,24,48
"extinctions.26",70,68,47,69,85,103,106,79,66,44,44,36,66,50,67,26,26
"extinctions.27",88,67,56,76,94,55,68,64,49,64,42,49,102,66,31,30,62
"extinctions.28",72,77,78,44,74,50,46,81,76,70,61,59,41,37,48,67,40
"extinctions.29",94,81,53,99,60,57,85,64,54,49,66,51,51,46,77,25,53
"extinctions.30",96,95,72,85,67,80,51,67,42,68,69,70,72,57,70,61,52
"extinctions.31",93,81,76,64,51,79,60,55,86,71,69,57,79,51,36,35,49
"extinctions.32",75,72,64,69,48,85,82,49,43,57,37,38,55,65,36,62,19
"extinctions.33",70,100,71,81,66,45,74,91,41,45,61,42,58,73,36,54,24
"extinctions.34",71,59,103,62,49,56,64,80,63,50,44,77,59,60,41,37,18
"extinctions.35",94,91,57,83,68,76,55,54,57,51,52,77,61,47,54,30,49
"extinctions.36",80,73,79,75,82,46,65,59,51,65,49,68,33,47,46,30,56
