"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions.h",20,23,13,23,18,19,21,11,14,9,25,9,12,7,7,6,5
"extinctions.h.1",19,20,23,10,12,22,14,25,17,12,19,15,7,3,6,9,12
"extinctions.h.2",16,23,22,18,11,10,19,14,23,17,7,12,12,7,7,6,4
"extinctions.h.3",15,17,14,24,15,19,13,13,8,11,6,27,20,8,3,3,11
"extinctions.h.4",15,18,13,23,17,19,16,9,10,16,6,12,7,7,6,5,16
"extinctions.h.5",18,19,19,15,25,14,17,8,17,11,17,12,20,3,0,11,20
"extinctions.h.6",15,20,15,21,18,11,17,15,20,14,8,24,9,9,28,2,2
"extinctions.h.7",21,19,19,15,8,10,9,18,11,12,15,7,5,21,4,8,4
"extinctions.h.8",21,28,22,15,14,10,11,13,14,15,17,9,10,8,18,4,24
"extinctions.h.9",19,18,19,12,16,20,16,7,15,13,10,10,7,5,3,17,9
"extinctions.h.10",22,20,13,18,17,14,19,18,11,23,26,11,1,9,10,3,18
"extinctions.h.11",22,23,23,12,17,11,21,10,15,8,10,26,9,7,3,1,5
"extinctions.h.12",16,15,18,27,22,15,12,14,22,10,8,22,8,7,22,10,13
"extinctions.h.13",10,14,13,21,25,9,12,12,9,13,13,9,7,23,6,20,2
"extinctions.h.14",13,18,21,15,13,11,14,29,19,17,8,12,8,7,3,8,3
"extinctions.h.15",18,25,13,22,16,9,15,20,13,6,7,18,11,13,8,26,3
"extinctions.h.16",21,25,23,17,18,8,21,14,16,12,20,10,7,4,7,4,11
"extinctions.h.17",19,17,18,10,18,12,4,10,12,11,7,14,6,11,6,9,10
"extinctions.h.18",20,12,17,20,10,24,16,8,13,6,5,6,3,22,0,6,3
"extinctions.h.19",20,15,23,15,17,15,14,12,16,15,5,14,8,6,19,11,11
"extinctions.h.20",21,10,19,18,22,15,18,18,12,22,16,10,6,7,5,8,21
"extinctions.h.21",23,20,17,21,8,8,20,18,18,22,15,27,7,5,15,4,21
"extinctions.h.22",19,17,12,20,20,17,10,11,14,11,7,13,13,19,19,3,4
"extinctions.h.23",15,23,21,15,16,17,14,14,22,7,24,5,5,5,18,4,2
"extinctions.h.24",20,14,14,18,14,17,17,10,18,18,7,9,8,25,7,6,8
"extinctions.h.25",12,28,12,19,11,20,27,9,12,25,8,25,4,12,21,4,8
"extinctions.h.26",15,14,11,16,20,25,22,9,16,12,8,5,20,9,9,3,2
"extinctions.h.27",22,18,17,16,28,17,15,16,11,21,11,14,28,23,10,5,6
"extinctions.h.28",16,15,16,11,21,15,12,22,17,17,12,10,7,9,9,16,2
"extinctions.h.29",20,16,17,25,15,13,22,18,12,11,14,15,7,9,19,4,5
"extinctions.h.30",23,22,20,22,18,23,10,15,7,18,15,15,19,12,16,12,5
"extinctions.h.31",24,23,20,16,13,20,16,13,24,18,13,6,13,13,5,2,3
"extinctions.h.32",25,15,9,14,10,25,19,10,10,10,6,8,8,20,8,14,2
"extinctions.h.33",16,26,15,22,12,12,22,25,9,7,11,7,13,5,2,1,3
"extinctions.h.34",20,10,27,15,15,13,12,13,18,12,8,13,12,8,4,8,3
"extinctions.h.35",19,23,14,21,21,20,10,14,18,13,13,14,20,10,8,1,3
"extinctions.h.36",18,12,21,17,19,9,18,11,14,16,8,17,7,8,10,4,10
"extinctions.h.37",17,24,19,14,15,15,27,15,20,16,7,29,20,14,4,4,7
"extinctions.h.38",16,23,22,21,13,12,18,13,17,19,13,10,10,5,14,6,1
"extinctions.h.39",24,17,20,13,5,15,14,16,10,23,14,7,13,11,14,1,1
"extinctions.h.40",21,23,18,23,16,21,25,16,15,12,19,13,7,20,16,3,3
"extinctions.h.41",17,23,21,17,17,22,9,13,12,8,10,14,5,9,11,16,1
