"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions.l",31,24,19,20,19,15,16,22,18,8,24,15,5,17,18,23,14
"extinctions.l.1",25,22,24,19,17,13,23,18,11,17,17,13,13,21,20,5,20
"extinctions.l.2",24,21,20,18,16,20,15,12,26,16,15,20,19,10,20,21,9
"extinctions.l.3",24,23,16,22,18,20,26,14,16,9,6,23,13,7,11,6,13
"extinctions.l.4",29,28,21,23,21,17,19,21,19,11,23,21,14,15,14,20,9
"extinctions.l.5",26,22,22,20,14,15,19,25,13,22,15,16,17,20,12,22,29
"extinctions.l.6",25,23,12,16,17,14,19,13,15,17,22,17,10,18,19,12,17
"extinctions.l.7",30,25,28,15,16,9,17,16,10,23,14,15,30,16,18,15,12
"extinctions.l.8",29,28,25,19,15,16,17,12,20,32,14,23,12,15,20,7,11
"extinctions.l.9",19,27,21,18,17,18,16,9,16,22,12,24,11,15,22,11,11
"extinctions.l.10",23,21,17,21,19,12,12,21,15,16,18,10,19,14,20,15,23
"extinctions.l.11",31,23,20,17,19,16,16,18,16,15,11,24,23,13,26,14,16
"extinctions.l.12",17,24,19,28,17,15,13,16,25,25,19,18,14,11,18,4,14
"extinctions.l.13",27,29,18,19,15,20,21,24,17,23,8,16,10,21,22,25,7
"extinctions.l.14",28,19,19,14,17,15,7,21,9,25,25,10,16,29,13,8,20
"extinctions.l.15",28,24,16,25,19,15,18,20,13,14,23,13,21,22,22,8,8
"extinctions.l.16",25,28,18,12,18,16,22,11,18,15,22,16,8,10,18,16,2
"extinctions.l.17",26,27,19,16,12,12,23,24,6,10,14,18,24,16,32,8,14
"extinctions.l.18",23,21,22,23,22,25,13,21,12,18,14,20,17,11,7,10,12
"extinctions.l.19",24,17,23,17,20,14,19,15,14,13,20,25,32,19,22,26,10
"extinctions.l.20",31,20,10,18,15,17,18,14,13,17,17,17,10,31,15,13,11
"extinctions.l.21",28,25,22,19,19,19,17,11,16,14,15,29,15,12,16,8,26
"extinctions.l.22",23,26,26,14,16,26,18,9,13,11,14,8,17,16,4,20,13
"extinctions.l.23",24,22,22,11,14,18,16,21,25,22,21,13,4,15,25,18,6
"extinctions.l.24",25,22,23,20,17,20,16,12,15,23,17,12,20,21,14,14,7
"extinctions.l.25",28,28,17,24,13,24,17,19,19,22,12,19,11,16,19,9,20
"extinctions.l.26",24,27,16,23,26,27,30,24,24,8,23,4,12,17,20,16,8
"extinctions.l.27",23,20,16,22,19,13,13,17,16,16,20,9,22,25,15,12,15
"extinctions.l.28",27,23,22,16,15,13,14,10,17,20,16,14,12,11,9,13,16
"extinctions.l.29",27,18,12,23,21,20,17,14,13,13,13,15,12,20,16,10,8
"extinctions.l.30",31,25,26,26,18,24,20,16,11,15,24,16,14,13,15,10,12
"extinctions.l.31",26,20,22,17,14,19,20,19,15,20,12,16,20,13,20,10,15
"extinctions.l.32",22,20,24,22,13,16,18,14,12,20,14,8,18,14,4,12,10
"extinctions.l.33",23,25,22,23,16,13,20,16,9,8,15,12,12,23,26,20,7
"extinctions.l.34",18,20,22,20,18,20,21,20,17,12,13,18,7,18,14,6,3
"extinctions.l.35",31,28,16,21,18,14,14,16,16,17,16,24,16,7,17,16,8
"extinctions.l.36",24,20,21,20,22,10,18,17,4,18,13,15,5,12,15,15,9
"extinctions.l.37",27,24,26,23,24,14,19,20,20,16,21,22,14,12,13,15,6
"extinctions.l.38",26,18,13,24,16,20,14,18,17,12,19,11,27,11,16,8,21
"extinctions.l.39",30,22,17,19,15,16,27,18,12,9,16,16,16,16,23,18,11
"extinctions.l.40",30,27,19,26,22,23,14,18,14,19,28,20,19,21,12,13,6
"extinctions.l.41",25,21,22,20,15,20,13,10,20,32,13,9,24,20,15,27,27
"extinctions.l.42",27,21,23,21,18,16,18,15,19,19,13,15,14,15,7,14,17
"extinctions.l.43",24,20,26,22,21,24,14,9,15,4,10,12,22,13,9,15,11
"extinctions.l.44",24,18,20,17,26,13,16,17,16,17,20,16,16,23,17,12,30
"extinctions.l.45",19,21,25,18,21,26,26,17,22,21,16,18,16,11,19,18,21
"extinctions.l.46",25,24,20,21,24,12,12,13,15,14,14,21,8,13,21,18,14
"extinctions.l.47",26,24,21,14,25,18,21,18,11,21,13,16,21,12,19,20,6
"extinctions.l.48",20,24,24,13,21,13,18,14,19,12,15,14,7,12,28,7,13
"extinctions.l.49",29,30,25,24,21,19,13,21,14,13,23,10,7,13,31,12,20
"extinctions.l.50",28,22,24,16,14,13,17,22,14,10,15,14,18,9,32,17,17
"extinctions.l.51",26,21,18,23,15,22,14,17,22,13,16,15,19,16,11,14,19
"extinctions.l.52",19,23,17,19,17,21,16,25,18,19,12,14,17,20,5,20,9
"extinctions.l.53",23,26,14,13,20,22,17,20,18,19,10,16,24,20,22,15,8
"extinctions.l.54",27,19,29,17,17,18,17,31,15,13,23,7,9,21,20,10,18
"extinctions.l.55",18,22,26,19,28,20,16,26,18,16,15,22,10,14,23,19,15
"extinctions.l.56",27,22,18,24,22,25,17,16,18,20,12,10,20,31,13,16,13
"extinctions.l.57",26,19,21,19,19,15,8,16,13,14,26,13,19,16,4,19,11
"extinctions.l.58",24,23,18,18,15,17,19,22,16,13,25,17,16,18,32,14,14
"extinctions.l.59",28,29,27,20,9,16,19,24,25,16,18,18,8,14,21,32,17
"extinctions.l.60",22,17,14,16,19,15,16,24,13,23,13,17,10,17,18,12,18
"extinctions.l.61",30,25,15,15,15,12,13,22,10,22,16,20,4,18,17,21,12
"extinctions.l.62",31,27,27,18,19,15,14,16,23,14,15,18,21,11,9,21,8
"extinctions.l.63",22,19,22,15,21,20,9,11,28,18,17,20,27,18,12,8,21
"extinctions.l.64",22,23,26,18,22,12,15,17,12,12,15,21,27,21,26,8,18
"extinctions.l.65",26,25,20,25,22,12,22,11,21,11,10,13,17,13,11,13,17
"extinctions.l.66",23,26,27,24,14,10,14,15,23,11,6,27,16,19,17,20,14
"extinctions.l.67",29,19,27,22,18,21,13,25,17,16,21,17,7,8,17,10,6
"extinctions.l.68",27,26,18,22,18,13,27,18,16,29,26,11,18,17,20,23,15
"extinctions.l.69",28,24,21,24,14,21,21,11,12,11,18,18,10,32,21,14,10
"extinctions.l.70",28,20,22,15,15,13,16,21,32,13,25,9,23,8,22,24,9
"extinctions.l.71",29,19,16,15,21,17,20,15,24,23,14,17,14,13,18,8,12
"extinctions.l.72",27,23,22,21,21,13,18,18,11,11,14,14,17,14,13,24,8
"extinctions.l.73",28,21,19,21,22,9,12,19,18,16,19,20,8,10,9,10,14
"extinctions.l.74",22,19,25,19,16,24,27,14,25,26,18,18,15,29,21,10,9
"extinctions.l.75",23,21,12,15,15,18,19,19,17,17,14,10,25,8,2,19,8
"extinctions.l.76",27,27,25,17,20,18,20,18,19,12,27,14,20,15,11,10,9
"extinctions.l.77",26,22,20,10,20,22,23,13,18,11,18,13,22,18,6,17,16
"extinctions.l.78",29,25,23,20,17,23,20,16,10,13,15,11,16,29,8,11,13
"extinctions.l.79",28,28,19,13,16,20,15,14,25,27,21,12,24,15,22,30,14
"extinctions.l.80",29,29,19,17,15,16,19,16,19,11,12,12,14,17,13,13,13
"extinctions.l.81",22,19,21,14,16,15,18,16,18,12,14,18,15,21,13,13,30
"extinctions.l.82",23,29,27,10,21,26,22,13,15,12,19,12,23,18,11,21,13
