"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"shannon",2.65515524768323,2.74594043376672,2.45273528849192,2.77613283769752,2.43755797588254,2.81211720935737,2.64304947333749,2.49698505704532,2.26143810159684,2.66075140435695,2.50899340044172,2.60045058953068,2.16285691999658,2.73722592323981,2.31557528291362,2.3789317463101,2.47430073664656
"shannon.1",2.1241396944,2.88952778520785,2.60861512438572,2.73483151728806,2.75367246812707,2.75959038560959,2.88652655161175,2.43866232576262,2.762188023078,2.52932902348451,2.47155875955374,2.54144442397646,2.72825454126524,3.00009439609395,2.7380101830542,2.92750569941645,2.52689352542808
"shannon.2",2.8068531062062,2.50471791833285,2.88938784912664,2.76793310403257,2.6637940916829,2.20421315981307,2.9219418777418,2.84589747858488,2.8159008567633,2.1726482388142,2.6106349310064,2.51772863886219,2.54324642921131,2.16557993444301,2.69001172954694,2.79400052789308,2.56706053576162
"shannon.3",2.88272108624034,2.52699385916067,2.7223204734551,2.43244387881499,2.67953101571529,2.75047695388439,2.59046350750361,2.72714159056509,2.31926384221316,2.7333174088054,1.72005069664859,2.44704625513797,2.65780143077523,2.91648101677782,2.72546183100596,1.22523105304675,2.37011734986323
"shannon.4",2.97683028280642,2.41574752309265,2.76637255809359,2.6397817725135,2.76062100333654,2.32388968182554,2.11454356960186,2.83167823571857,0.128829447436693,2.62342440296082,2.53968539310403,2.82051794163355,2.89917745734972,2.67360354453146,2.54602689196041,2.3213700200944,2.76116132479776
"shannon.5",2.89921262324792,2.67044362683192,2.60826278077949,2.71666858168449,2.73135920634755,2.80365181349475,2.74709523462222,2.72682152853274,1.91762905284769,2.81082120836824,2.61354311096682,2.71018512609923,2.78447415721746,1.34688947673878,2.63650503153007,2.42206836239068,2.64507496977378
"shannon.6",2.77306687242427,2.84044406728919,2.86966159305572,2.75311256028274,2.60631652041707,2.50378989699027,2.55783205628795,2.35846251076753,2.80642282595183,2.82007299669984,2.67856195183221,2.71695910702836,2.71917784240297,2.37220358883633,2.87176270094313,2.8475499439208,1.22027196104074
"shannon.7",2.71178266422605,2.24222083157063,2.47301484702462,0.208094502499312,2.76827536311655,2.54339451820476,2.53502080466696,2.74584781860154,2.63429397843239,2.43941736696168,2.83062269210332,0.930423199004537,2.6319768357198,2.70419222722749,2.21317943737255,2.33767047268672,1.98176267387365
"shannon.8",2.91464388990987,2.82423053623652,2.78268133792157,2.56223559608565,2.13972855600101,2.24647980157252,2.29352365479143,2.60912625538453,2.82861513066214,2.81255623426732,2.03056399812764,2.78572802644464,2.31054315896539,2.45030995173641,2.61411759085468,2.18865382095201,2.58050713914293
"shannon.9",2.83526126556302,2.46150534064371,2.81255831719886,2.57595765857212,2.44405496173798,2.61757364932742,2.1761313938308,2.40210031391648,2.49320268698413,2.49824803122461,2.65212183715097,2.70537000072507,2.70368026198498,2.50800034942872,2.70608214142251,0.735075992467496,2.76133441633525
"shannon.10",2.73743660154737,2.17425076299619,2.62725100927254,2.72831866561937,2.46332585037349,2.77771561209626,2.70744791149162,2.74666756462887,2.67975228079401,2.55849455788549,2.13425214420004,2.7751560325682,2.68454831945908,2.8452069607535,2.6884917139496,1.67925790499148,2.58186814272108
"shannon.11",2.72744011903464,2.72290949204481,2.78437733342967,2.96099948015705,2.89721435536736,2.67527110770159,2.44788928065557,0.747152949637752,2.548868627774,2.43812037294773,2.05635931378124,2.66073030988717,2.67925513985968,2.67761101313188,2.31182080971072,2.77948789971396,2.83403798228504
"shannon.12",2.7080726853677,2.69420753446827,2.54025663377537,2.55904326070826,2.69699361801121,2.8696936455581,2.4060770871441,2.39528965204523,2.07425257717843,2.55031112633119,1.33817767347346,2.57116859943438,0.155827560818956,2.66250969422115,2.53597950043004,1.63937075148379,2.60856552152711
"shannon.13",2.8902403090839,2.70378518278242,2.22793717496151,2.75589941497496,2.65936555972269,2.84696262150934,2.847391139934,2.5077119908474,2.79487092354104,2.55634011796706,2.3503337065936,2.48155753209371,3.01426802515437,2.78285249786131,2.8525672047553,2.00381450260158,2.69040025411758
"shannon.14",2.690496917572,2.54182096804607,2.35104560088042,2.18424648525207,2.76149190343916,2.89152527252067,2.50095752108107,2.51536572673838,2.39187022216653,2.6458194364093,2.79019717956045,2.76895497782344,2.61589384011968,2.59584070870981,2.72299508661168,2.7167476191973,2.61308133199867
"shannon.15",2.59146055954771,2.7360502687556,2.89620173288389,2.70192867254045,2.67248704501352,2.73347337770058,2.40752096802597,2.40677450168644,2.81389898176998,2.6866253130001,2.66173327133666,2.15969050295177,2.55295209832784,2.71124370838189,2.85952075252199,2.77010400753557,2.72117156303349
"shannon.16",2.09008903598714,2.77069614307044,1.41017522911708,2.64115827030243,2.51509357143586,2.72590922191266,2.77352281115723,2.38062276706829,2.62454607446346,1.59817587900213,3.04647168189923,2.5715955385304,2.83943055255952,2.57385649793971,2.600158293274,2.68314001822098,2.61326577634205
"shannon.17",2.75771755357372,2.87213471388032,2.58013189214202,2.65077793951614,2.64165817409888,2.10232340843209,2.92461562850913,2.69220652473058,2.79472457513429,2.82587128192453,1.91604599815928,2.05334770514845,2.7397600308198,2.50823832711103,2.8042592028159,2.48723279809882,2.74765051102633
"shannon.18",2.26763283035067,2.21476959100059,2.7677455366408,2.71466049325012,2.82362386828824,2.79873415254414,2.58641149291282,2.68136185188643,2.69911936661339,2.67171526499224,2.36711227128817,2.21933007196435,2.88238462143307,2.88892797713675,2.54094229391648,2.94164762155201,1.88940585929781
"shannon.19",2.23929394388088,2.8447970979803,2.88039084376254,2.60165240706329,2.40671848819469,2.77136908739645,2.48822423629641,2.84114055407465,0.20070159864248,2.81282708074213,2.66319654419961,2.64119940820735,2.16098512817365,2.45544249999028,2.39246484522315,3.11844126945652,2.94420682106397
"shannon.20",2.35655806989971,2.65416287559967,2.63800764679792,2.67017438193111,2.7519001930335,2.62875680248963,2.60277006071989,2.76480424007978,2.63005986988756,2.69207204797735,1.96827100080213,2.69436943719077,2.54757444981522,2.88609974634021,2.4638808725228,2.39338928013612,2.99579619354203
"shannon.21",2.75622043834238,2.69170570461667,2.37896111207081,2.84848532925762,2.78812501331655,2.78482832719121,2.79630144902931,2.65977250318622,2.64620708533708,2.6845379243116,2.52712457016115,2.80143943859456,1.72560778524109,2.79600380642292,2.61728071382667,2.57323813703196,3.140733400714
"shannon.22",2.22080734894575,2.78586345202129,2.42790203453848,2.82235673561945,2.19758238054926,2.58191532458306,2.57757534919063,2.26058642159922,2.7716171973613,2.30314083239315,0.158546878113049,2.7501992547657,1.63558746792649,2.51475381432368,2.70715300313943,2.69940919372094,2.93312539650296
"shannon.23",2.62062921033802,2.58631389276653,2.76707521323477,2.82869916836299,2.90736370674458,2.86678850511072,1.16591567210231,2.73399397496174,2.8888191599171,2.19391751474743,2.60821737537399,2.85649095424,2.57215935333836,2.78920931152389,2.93622917113626,2.55727950539083,2.74148920807288
"shannon.24",2.63987568654212,2.8262652748623,2.65728610727241,2.86794230989457,2.56523251039826,2.43576019892194,2.81985578415261,2.52574812997855,2.68916169196917,2.5436588691281,1.27827345633307,2.43962550984736,2.37505084285547,2.65749178089321,1.60664507264079,2.65442981354995,2.75017194922355
"shannon.25",2.64377002639784,2.37396831060853,2.80892607541861,2.26560362288573,2.62164645865372,2.7255654597431,2.59635213033533,2.63861051991537,2.73041327172528,2.94143918652538,2.50828850230452,2.74895400409191,0.385232414140666,2.13040823249867,2.51934750974024,2.89312068243598,2.43519123273688
"shannon.26",2.66256445029347,2.90595471501898,2.46349506859869,2.78141507247772,2.96497407502198,2.94799500413696,2.71650932634842,2.67778998076749,2.55479493565152,2.50251464503947,2.4807327343829,2.16919723963593,2.752623846433,2.66514337101337,2.73249740104,3.02024210249004,2.62865594394244
"shannon.27",2.40011838862849,2.85151930524431,2.79145610894322,2.69381210641751,2.29384708289483,2.316866407512,2.4875056046678,2.4618989543532,2.20568474606348,1.97947909613178,2.66232837225156,2.96498902850331,2.85696566429865,2.77394993393399,2.15190184594511,2.89234476843502,2.99479978537201
"shannon.28",2.90934308963585,2.56623005376716,2.61879217663336,2.57602151795157,2.83639591009247,2.3897284319629,2.77291851697759,2.92405268074805,2.72978068687293,2.80041043239657,2.35960454560947,2.60050778533754,2.85905132333277,1.04963715769793,2.56314663272959,1.62011332877451,2.69349797378291
"shannon.29",2.76945417914123,2.86093597268561,2.63526320777449,2.82530243623688,2.34211320480994,2.61907872619999,2.78796107140164,2.31085592405277,2.52725236340218,2.89103941445909,2.49047931696755,2.54697650159534,2.42921480761561,2.78427947453184,2.61989872283633,0.123307932783309,2.51001831319867
"shannon.30",2.72281823469626,2.29781585356685,2.71459832450101,2.49978624936645,2.83610426604873,2.85692916107735,2.43766976804677,2.63647736709042,2.58546807687758,2.43189629853431,2.30522428570956,2.70935519685096,2.94611808141704,2.96898794276623,1.09061860119176,2.84968143022692,2.55582903465435
"shannon.31",2.82948060266705,2.39760342535945,2.70382992833069,2.73265929505874,2.57464645021202,2.54935278170392,2.73341497317717,2.49709184781555,1.4399175968338,2.50257536727321,0.105695926088874,2.60380139382262,2.70574504809729,2.97851008931652,2.65510118270667,2.62797794781499,2.49985558364554
"shannon.32",2.8012232607555,2.67594752383818,2.62559811840011,2.3604912279843,2.70993916495694,2.89252133814269,2.07982356999153,2.65740536333005,2.66296467638848,2.65679635160012,2.15603617814915,2.82777803927194,2.70051001941757,2.53700238054454,2.89000970529462,2.62024175494013,2.78091819973806
"shannon.33",2.94200215526346,2.81309803560743,2.76648076687248,2.589507739243,2.46664911294857,2.73113781710018,0.30057372235628,2.77990472622729,2.73863146394937,2.18409247376388,2.42309221196851,2.62586397012764,2.50788832123506,0.142947788823689,2.4896966363371,2.65916945558385,2.75101646171867
"shannon.34",2.92713547812997,2.62302596096177,2.71191924021508,1.89523964444403,2.76457618798356,2.95656272767611,2.73035451135069,2.44630995334581,2.76812970993205,1.69301985000513,0.276766860899997,2.82414109641005,2.79135631483133,2.8819084090919,2.4080843423898,2.71037316843624,2.58629313028188
"shannon.35",2.77252659751617,2.56478061456917,2.54915895541134,2.78700123660437,2.57552452920963,2.61431419454892,1.47612529583126,2.17224466396983,2.70732673144374,2.5892229318904,2.95153945334704,1.17399138136909,2.5659334973329,2.72156183201062,0.0980018743816711,3.0513643290947,2.88607564983294
"shannon.36",2.12748068663521,2.64520732551067,2.89906568905782,2.76613094439554,2.58816423083432,2.59776841382132,2.56514437387722,1.23538813603375,2.90521960189642,2.84347771720928,1.38677413482214,0.0833375926004877,2.22735382842842,2.51562142778789,2.77399199949185,2.78747642919809,2.44278122262718
"shannon.37",2.76850882212571,2.89033117878079,2.56502785770309,2.84905971981309,2.38971851711131,2.75581256272623,1.58748682343645,2.40171928097613,2.51629052818933,2.84279201646916,2.57365401984355,2.02081512373921,2.52035202211465,2.52339805260909,2.74844256010217,1.4052420819187,2.20619575848879
"shannon.38",2.76136015984621,2.44692277049679,2.716643918658,2.90578840415451,2.69299028996079,2.84012511989682,2.24227770882527,2.68920182599547,2.49848087573373,2.99081402810911,2.65681292122084,2.08874724238629,2.40079339088963,2.16173225234167,1.9250587463039,2.74851188021409,2.60369873770637
"shannon.39",2.10669510465872,2.45370982510126,2.80791376707748,2.22155739320367,2.8026021944894,2.71520579001224,2.44805708306348,2.50981843443537,2.58796120631849,2.77023645928334,2.84516800642891,2.56612753130002,2.79890011246667,2.26757845541832,2.70472491960201,2.6455398071402,2.41876126963253
"shannon.40",2.67864782489515,2.77682083224203,2.38995346808737,2.32043168008884,2.54288209177279,2.56737857742044,2.89716465060382,2.41671159073775,0.213236196802028,2.82429039184628,2.19113449596309,2.30282040118567,2.91108121170139,2.50059818855399,2.31966811754579,2.87098218746356,2.66924146156702
"shannon.41",2.72524968338818,2.56819340713489,2.79572016100257,2.45633118796965,2.81736435234614,2.6214222739534,2.63381452073162,1.43005251481091,2.40048514001916,2.55676030433316,2.62279405249875,2.38077424054165,2.75666099723969,2.58972818034749,2.85543489604499,2.3393299796825,2.37369005795458
